query_table,query_value,candidate_table,candidate_value
ethnicgroup_left,portuguese new zealander,ethnicgroup_right,portuguese new zealanders
christianbishop_left,jonah (paffhausen),christianbishop_right,jonah paffhausen
soccertournament_left,1998 uefa european under-18 football championship,soccertournament_right,1998 uefa european under-18 championship
sportsleague_left,pacific women's sevens championship,sportsleague_right,oceania women's sevens championship
country_left,malta colony,country_right,crown colony of malta
memberofparliament_left,lee scott (politician),memberofparliament_right,lee scott (uk politician)
governmentagency_left,the office of azerbaijan president,governmentagency_right,presidential administration of azerbaijan
footballleagueseason_left,2004 malaysia super league,footballleagueseason_right,2004 super league malaysia
historicbuilding_left,cathedral of saints peter and paul in saint thomas,historicbuilding_right,"saints peter and paul cathedral (st. thomas, u.s. virgin islands)"
wrestler_left,scott hudson (wrestling commentator),wrestler_right,scott hudson (commentator)
reptile_left,giant girdled lizard,reptile_right,giant girdled lizard
basketballteam_left,melbourne tigers,basketballteam_right,melbourne united
stadium_left,olympic stadium (berlin),stadium_right,olympiastadion (berlin)
soccerleague_left,anguillan league,soccerleague_right,afa senior male league
clericaladministrativeregion_left,diocese of north west australia,clericaladministrativeregion_right,anglican diocese of north west australia
ethnicgroup_left,haitian canadians,ethnicgroup_right,haitian canadian
song_left,stay forever (song),song_right,stay forever (platin song)
televisionstation_left,sundance channel (united states),televisionstation_right,sundancetv
televisionstation_left,wmwc (tv),televisionstation_right,wmwc-tv
country_left,moche (culture),country_right,moche culture
sportsleague_left,south american women's sevens championship,sportsleague_right,women's rugby sevens in south america
museum_left,ukrainian national chornobyl museum,museum_right,ukrainian national chernobyl museum
hospital_left,"prince of wales hospital, sydney",hospital_right,prince of wales hospital (sydney)
givenname_left,joseph (given name),givenname_right,joseph
givenname_left,tom (name),givenname_right,tom (given name)
hospital_left,freedmen's hospital,hospital_right,howard university hospital
legislature_left,national legislature (south sudan),legislature_right,national legislature of south sudan
case_left,"okla. tax comm'n v. citizen band, potawatomi indian tribe of okla.",case_right,"oklahoma tax commission v. citizen band, potawatomi indian tribe of oklahoma"
governmentagency_left,dhs national protection and programs directorate,governmentagency_right,national protection and programs directorate
clericaladministrativeregion_left,syro-malabar catholic diocese of gorakhpur,clericaladministrativeregion_right,syro-malabar catholic eparchy of gorakhpur
reptile_left,rosette-nosed chameleon,reptile_right,rosette-nosed chameleon
unitofwork_left,addyston pipe and steel company v. united states,unitofwork_right,addyston pipe & steel co. v. united states
givenname_left,haruchika,givenname_right,haruchika (given name)
magazine_left,dhanam (business magazine),magazine_right,dhanam (business magazine)
reptile_left,fox snake,reptile_right,fox snake
legislature_left,house of representatives (liberia),legislature_right,house of representatives of liberia
legislature_left,national assembly (ecuador),legislature_right,national assembly of ecuador
naturalevent_left,1855 ansei edo earthquake,naturalevent_right,1855 edo earthquake
soccertournament_left,2013 uefa women's u-17 championship,soccertournament_right,2013 uefa women's under-17 championship
reptile_left,saint lucia racer,reptile_right,saint lucia racer
unitofwork_left,young v. american mini theatres,unitofwork_right,"young v. american mini theatres, inc."
televisionstation_left,yle extra,televisionstation_right,yle extra
reptile_left,california whipsnake,reptile_right,california whipsnake
shoppingmall_left,solano town center,shoppingmall_right,westfield solano
soccerleague_left,weston-super-mare and district football league,soccerleague_right,weston super mare and district league
noble_left,guigues iii of albon,noble_right,guigues viii of albon
stadium_left,kocaeli b.b. ice arena,stadium_right,kocaeli ice rink
amphibian_left,spotted chorus frog,amphibian_right,spotted chorus frog
museum_left,fort vredeburg,museum_right,fort vredeburg museum
stadium_left,sartain hall (old trojan arena),stadium_right,sartain hall
stadium_left,iksan south korea national baseball team training stadium,stadium_right,iksan national baseball training stadium
sportsleague_left,kenyan provincial league,sportsleague_right,kenyan provincial leagues
magazine_left,next generation (magazine),magazine_right,next generation magazine
artwork_left,garden at sainte-adresse (monet),artwork_right,garden at sainte-adresse
naturalevent_left,1980 central mexico earthquake,naturalevent_right,1980 oaxaca earthquake
museum_left,beijing lu xun museum,museum_right,lu xun museum
case_left,davidson v. new orleans,case_right,davidson v. city of new orleans
televisionstation_left,cmt (canada),televisionstation_right,cmt (canadian tv channel)
case_left,american insurance company v. 356 bales of cotton,case_right,american insurance co. v. 356 bales of cotton
rugbyleague_left,caledonia regional league (rugby union),rugbyleague_right,caledonia regional league
tournament_left,beach soccer world cup 2000,tournament_right,2000 beach soccer world championship
song_left,better than you (conor maynard song),song_right,better than you (conor maynard song)
memberofparliament_left,james wilson (new zealand politician),memberofparliament_right,"james wilson (new zealand politician, born 1849)"
unitofwork_left,"c & l enterprises, inc. v. citizen band, potawatomi indian tribe of okla.",unitofwork_right,"c & l enterprises, inc. v. citizen band, potawatomi indian tribe of oklahoma"
case_left,"flagg brothers, inc. v. brooks",case_right,"flagg bros., inc. v. brooks"
rugbyleague_left,london and south east merit league,rugbyleague_right,"london, south and east merit league"
reptile_left,seychelles wolf snake,reptile_right,seychelles wolf snake
rugbyleague_left,arfu women's rugby championship,rugbyleague_right,asia rugby women's championship
sportsleague_left,adriatic water polo league,sportsleague_right,adriatic water polo league
song_left,the ox (instrumental),song_right,the ox (the who song)
soccertournament_left,1971 ncaa division i men's soccer championship,soccertournament_right,1971 ncaa men's soccer championship
governmentagency_left,department of atomic energy (india),governmentagency_right,"department of atomic energy, government of india"
motorsportseason_left,1979 imsa gt championship season,motorsportseason_right,1979 imsa gt championship
amphibian_left,sign-bearing froglet,amphibian_right,sign-bearing froglet
case_left,"linmark associates, inc. v. willingboro",case_right,"linmark associates, inc. v. township of willingboro"
legislature_left,senate (belgium),legislature_right,belgian senate
reptile_left,ceram mangrove monitor,reptile_right,ceram mangrove monitor
legislature_left,parliament of india,legislature_right,indian parliament
rugbyleague_left,rugby league european shield,rugbyleague_right,rugby league european championship b
award_left,2008 brit awards,award_right,2008 brit awards
tournament_left,1961 ncaa division i men's soccer championship,tournament_right,1961 ncaa men's soccer championship
televisionstation_left,kpse-lp,televisionstation_right,kpsg-lp
sportsleague_left,cayman islands league,sportsleague_right,cayman islands premier league
sportsleague_left,bristol and district football league,sportsleague_right,bristol and district league
memberofparliament_left,sir arthur cowell-stepney,memberofparliament_right,arthur cowell-stepney
historicbuilding_left,zagreb orthodox cathedral,historicbuilding_right,"serbian orthodox cathedral, zagreb"
tournament_left,nagashima shigeo invitational sega sammy cup,tournament_right,shigeo nagashima invitational sega sammy cup
artwork_left,before the race (painting),artwork_right,before the race
song_left,dry bones (anthology),song_right,dry bones (folk song)
reptile_left,schokar's bronzeback,reptile_right,schokar's bronzeback
hospital_left,washington hospital center,hospital_right,medstar washington hospital center
soccerclubseason_left,2012 down gaa senior football,soccerclubseason_right,2012 down football season
unitofwork_left,southern pacific company v. arizona,unitofwork_right,southern pacific co. v. arizona
governmentagency_left,ministry of human resources and social security of the people's republic of china,governmentagency_right,ministry of human resources and social security
device_left,bl 6 inch mk vii naval gun,device_right,bl 6-inch mk vii naval gun
shoppingmall_left,west manchester mall,shoppingmall_right,west manchester town center
soccertournament_left,2006 ofc club championship,soccertournament_right,2005â06 ofc club championship
monarch_left,jashwant singh,monarch_right,jaswant singh of bharatpur
historicbuilding_left,zion's church (worpswede),historicbuilding_right,zion church (worpswede)
monarch_left,empress ma (ming),monarch_right,empress ma (han dynasty)
venue_left,dalian sports center,venue_right,dalian sports center stadium
motorsportseason_left,2013 fim motocross world championship season,motorsportseason_right,2013 fim motocross world championship
historicbuilding_left,"our lady of mount carmel parish (wyandotte, michigan)",historicbuilding_right,"our lady of the scapular parish (wyandotte, michigan)"
basketballteam_left,canberra capitals,basketballteam_right,university of canberra capitals
museum_left,the history museum at the castle,museum_right,history museum at the castle
soccertournament_left,2012 ofc women's pre-olympic football tournament,soccertournament_right,2012 ofc women's olympic qualifying football tournament
amphibian_left,many-lined salamander,amphibian_right,many-lined salamander
legislature_left,senate (belize),legislature_right,senate of belize
legislature_left,national assembly (pakistan),legislature_right,national assembly of pakistan
christianbishop_left,patriarch dionysius ii of constantinople,christianbishop_right,dionysius ii of constantinople
artwork_left,aristotle contemplating a bust of homer,artwork_right,aristotle with a bust of homer
railwayline_left,sealdah south lines,railwayline_right,sealdah south lines
basketballteam_left,bc tsmoki-minsk,basketballteam_right,bc minsk-2006
christianbishop_left,cyril mar baselios,christianbishop_right,cyril baselios
memberofparliament_left,ian davidson (british politician),memberofparliament_right,ian davidson (scottish politician)
givenname_left,hjalmar (given name),givenname_right,hjalmar (disambiguation)
reptile_left,soutpansberg rock lizard,reptile_right,soutpansberg rock lizard
tennistournament_left,2011 national bank challenger saguenay,tennistournament_right,2011 challenger banque nationale de saguenay
unitofwork_left,honda motor company v. oberg,unitofwork_right,honda motor co. v. oberg
venue_left,"sleep train amphitheatre (wheatland, california)",venue_right,toyota amphitheatre
naturalevent_left,december 1911 guerrero earthquake,naturalevent_right,1911 guerrero earthquake
politicalparty_left,liberal party (moldova),politicalparty_right,liberal party of moldova
case_left,philip morris usa v. williams,case_right,philip morris usa inc. v. williams
motorsportseason_left,1967 united states road racing championship season,motorsportseason_right,1967 united states road racing championship
soccerleague_left,k league challenge,soccerleague_right,k league
footballleagueseason_left,2011 meath intermediate football championship,footballleagueseason_right,meath intermediate football championship 2011
museum_left,ucla fowler museum of cultural history,museum_right,fowler museum at ucla
historicbuilding_left,st. timothy catholic church,historicbuilding_right,st. timothy catholic church (los angeles)
politicalparty_left,northern ireland conservatives,politicalparty_right,conservatives in northern ireland
railwayline_left,penn line (marc),railwayline_right,penn line
hospital_left,children's medical center (dallas),hospital_right,children's medical center dallas
ethnicgroup_left,italian australian,ethnicgroup_right,italian australians
christianbishop_left,patriarch callinicus iv of constantinople,christianbishop_right,callinicus iv of constantinople
artwork_left,the roulin family (van gogh series),artwork_right,the roulin family
tournament_left,1960 uefa european under-18 football championship,tournament_right,1960 uefa european under-18 championship
footballleagueseason_left,2009 meath senior football championship,footballleagueseason_right,meath senior football championship 2009
song_left,when it's moonlight on the prairie,song_right,when it's moonlight on the prairie
election_left,"indian general election in haryana, 1998",election_right,"indian general election, 1998 (haryana)"
reptile_left,leopard anole,reptile_right,leopard anole
reptile_left,west usambara two-horned chameleon,reptile_right,west usambara two-horned chameleon
legislature_left,landtag of saxony,legislature_right,landtag of the free state of saxony
race_left,tour of faroes islands,race_right,tour of faroe islands
rugbyleague_left,african women's sevens,rugbyleague_right,african women's sevens championship
politicalparty_left,red and black alliance,politicalparty_right,black and red alliance
railwayline_left,montreal subdivision (csx),railwayline_right,montreal subdivision (csx transportation)
ethnicgroup_left,afro-dominican,ethnicgroup_right,afro-dominican (dominican republic)
reptile_left,south-west spiny-tailed gecko,reptile_right,south-west spiny-tailed gecko
election_left,"somaliland parliamentary election, 2014",election_right,"somaliland general election, 2017"
motorsportseason_left,2010 fim motocross world championship season,motorsportseason_right,2010 fim motocross world championship
basketballteam_left,pacific caesar,basketballteam_right,pacific caesar surabaya
museum_left,national archives of serbia,museum_right,archive of serbia
legislature_left,national council (switzerland),legislature_right,national council of switzerland
christianbishop_left,andrew thomas mcdonald,christianbishop_right,andrew mcdonald (bishop)
case_left,gasperini v. center for humanities,case_right,"gasperini v. center for humanities, inc."
reptile_left,dwarf karoo girdled lizard,reptile_right,dwarf karoo girdled lizard
memberofparliament_left,patrick alphonsus buckley,memberofparliament_right,patrick buckley (new zealand politician)
memberofparliament_left,sir arthur cowell-stepney,memberofparliament_right,"sir arthur cowell-stepney, 2nd baronet"
basketballteam_left,yongin samsung life blue minx,basketballteam_right,yongin samsung life bichumi
unitofwork_left,state oil company v. khan,unitofwork_right,state oil co. v. khan
race_left,cathay pacific gold cup,race_right,moonee valley gold cup
legislature_left,north down and ards district council,legislature_right,ards and north down borough council
race_left,strade bianche,race_right,strade bianche - eroica pro
reptile_left,large psammodromus,reptile_right,large psammodromus
unitofwork_left,united states v. indianapolis & st. louis railroad company,unitofwork_right,united states v. indianapolis & st. louis railroad co.
politicalparty_left,australian stable population party,politicalparty_right,sustainable australia
stadium_left,ulsan baseball stadium,stadium_right,ulsan munsu baseball stadium
unitofwork_left,stanton v. baltic mining company,unitofwork_right,stanton v. baltic mining co.
basketballteam_left,bc budivelnyk,basketballteam_right,bc budivelnik
ethnicgroup_left,swedish iraqis,ethnicgroup_right,iraqis in sweden
clericaladministrativeregion_left,anglican diocese of angola,clericaladministrativeregion_right,diocese of angola
motorsportseason_left,2012 fim motocross world championship season,motorsportseason_right,2012 fim motocross world championship
noble_left,dominik aleksander kazanowski,noble_right,aleksander dominik kazanowski
unitofwork_left,united states v. montgomery county bd. of ed.,unitofwork_right,united states v. montgomery county board of education
ethnicgroup_left,polish brazilian,ethnicgroup_right,polish brazilians
device_left,sony xperia ion,device_right,sony xperia ion
soccertournament_left,2008 concacaf women's u-20 championship,soccertournament_right,2008 concacaf under-20 women's championship
motorsportseason_left,1986 imsa gt championship season,motorsportseason_right,1986 imsa gt championship
country_left,kerait,country_right,khereid
motorsportseason_left,1992 world rally championship season,motorsportseason_right,1992 world rally championship
case_left,kellogg bridge company v. hamilton,case_right,kellogg bridge co. v. hamilton
stadium_left,penang international sports arena,stadium_right,spice arena
device_left,starr carbine,device_right,starr carbine
legislature_left,house of representatives (netherlands),legislature_right,house of representatives of the netherlands
unitofwork_left,united states v. x-citement video,unitofwork_right,"united states v. x-citement video, inc."
reptile_left,barbados leaf-toed gecko,reptile_right,barbados leaf-toed gecko
reptile_left,bedriaga's rock lizard,reptile_right,bedriaga's rock lizard
case_left,"john den, ex dem. james b. murray et al. v. the hoboken land and improvement company",case_right,murray's lessee v. hoboken land & improvement co.
reptile_left,gardiner's burrowing skink,reptile_right,gardiner's burrowing skink
christianbishop_left,patriarch joachim iii of constantinople,christianbishop_right,joachim iii of constantinople
unitofwork_left,city of walla walla v. walla walla water company,unitofwork_right,city of walla walla v. walla walla water co.
magazine_left,caravan (magazine),magazine_right,caravan magazine
legislature_left,federal assembly (switzerland),legislature_right,federal assembly of switzerland
ethnicgroup_left,swedish iranians,ethnicgroup_right,iranians in sweden
country_left,kingdom of ossory,country_right,osraige
amphibian_left,littlejohn's toadlet,amphibian_right,littlejohn's toadlet
amphibian_left,tasmanian froglet,amphibian_right,tasmanian froglet
givenname_left,edwina (given name),givenname_right,edwina
motorsportseason_left,1994 world rally championship season,motorsportseason_right,1994 world rally championship
historicbuilding_left,"church of our saviour (cincinnati, ohio)",historicbuilding_right,church of our saviour (cincinnati)
christianbishop_left,john auchmuty (dean),christianbishop_right,john auchmuty
legislature_left,federal assembly (russia),legislature_right,federal assembly of russia
reptile_left,butler's garter snake,reptile_right,butler's garter snake
song_left,out on my own,song_right,out on my own (michelle song)
device_left,springfield model 1870,device_right,springfield model 1870
magazine_left,the trades,magazine_right,the trades
givenname_left,lyfing (given name),givenname_right,lyfing
motorsportseason_left,1970 fim motocross world championship season,motorsportseason_right,1970 fim motocross world championship
country_left,moche (culture),country_right,moche
monarch_left,bridei vi of the picts,monarch_right,bridei vi
election_left,"indian general election in mizoram, 2009",election_right,"indian general election, 2009 (mizoram)"
unitofwork_left,weaver v. palmer brothers company,unitofwork_right,weaver v. palmer bros. co.
soccerclubseason_left,2007 australia national football team season,soccerclubseason_right,2007 australia national soccer team season
case_left,ontario v. quon,case_right,city of ontario v. quon
christianbishop_left,aeneas chisholm (bishop of aberdeen),christianbishop_right,aeneas chisholm (bishop of aberdeen)
soccerclubseason_left,2011 australia national football team season,soccerclubseason_right,2011 australia national soccer team season
song_left,mera naam chin chin chu,song_right,mera naam chin chin chu
hospital_left,mount sinai medical center (chicago),hospital_right,mount sinai medical center
unitofwork_left,united states civil service commission v. national association of letter carriers,unitofwork_right,united states civil service commission v. national ass'n of letter carriers
magazine_left,sportsnet magazine,magazine_right,sportsnet magazine
soccerleague_left,championnat de france amateur 2,soccerleague_right,championnat de france amateur 2
governmentagency_left,ministry of construction (burma),governmentagency_right,ministry of construction (myanmar)
country_left,kingdom of ossory,country_right,kingdom of osraige
ethnicgroup_left,emirati people,ethnicgroup_right,emiratis
ethnicgroup_left,iraqi australian,ethnicgroup_right,iraqi australians
country_left,kingdom of vaspurakan,country_right,vaspurakan kingdom
noble_left,"philip iv, count of waldeck",noble_right,"philipp iv, count of waldeck"
clericaladministrativeregion_left,archeparchy of haifa and the holy land,clericaladministrativeregion_right,maronite catholic archeparchy of haifa and the holy land
unitofwork_left,houston e. & w. t. ry. co. v. united states,unitofwork_right,houston east & west texas railway co. v. united states
amphibian_left,stuttering frog,amphibian_right,stuttering frog
soccerclubseason_left,2012 incheon united season,soccerclubseason_right,2012 incheon united fc season
soccerleague_left,bosnia and herzegovina women's football championship,soccerleague_right,bosnian women's football championship
historicbuilding_left,"saint paul's cathedral, wellington",historicbuilding_right,wellington cathedral of st paul
venue_left,vizelj park,venue_right,vizelj park
shoppingmall_left,lulu mall,shoppingmall_right,lulu international shopping mall
governmentagency_left,secretariat for human rights,governmentagency_right,special secretariat for human rights
race_left,glenfarclas cross country handicap chase,race_right,glenfarclas cross country chase
award_left,kbs drama acting awards,award_right,kbs drama awards
givenname_left,laimonis (name),givenname_right,laimonis
case_left,kramer v. union free school district no. 15,case_right,kramer v. union school district
case_left,southern pacific company v. arizona,case_right,southern pacific company v. state of arizona
unitofwork_left,wilburn boat company v. fireman's fund insurance company,unitofwork_right,wilburn boat co. v. fireman's fund insurance co.
reptile_left,lomi's blind legless skink,reptile_right,lomi's blind legless skink
reptile_left,dubious dtella,reptile_right,dubious dtella
unitofwork_left,carroll v. princess anne,unitofwork_right,carroll v. town of princess anne
ethnicgroup_left,maltese in gibraltar,ethnicgroup_right,history of the maltese in gibraltar
amphibian_left,brewer's carrying frog,amphibian_right,brewer's carrying frog
stadium_left,krylatskoe sport palace,stadium_right,krylatskoye sports palace
sportsleague_left,naia national women's tennis championship,sportsleague_right,naia women's tennis championship
televisionstation_left,ktja-lp,televisionstation_right,ktja-ca
shoppingmall_left,"university mall (chapel hill, north carolina)",shoppingmall_right,"university place (chapel hill, north carolina)"
memberofparliament_left,john dooley,memberofparliament_right,john dooley (politician)
givenname_left,pia (name),givenname_right,pia (given name)
governmentagency_left,virginia state lottery,governmentagency_right,virginia lottery
race_left,miracle mile (race),race_right,miracle mile (harness race)
shoppingmall_left,louis joliet mall,shoppingmall_right,westfield louis joliet
magazine_left,canadian immigrant (magazine),magazine_right,canadian immigrant
givenname_left,gun (name),givenname_right,gun (swedish name)
case_left,microsoft v. at&t,case_right,microsoft corp. v. at&t corp.
legislature_left,legislative assembly of the azores,legislature_right,legislative assembly of the autonomous region of the azores
shoppingmall_left,westfield sydney central plaza,shoppingmall_right,sydney central plaza
museum_left,lobkowicz palace,museum_right,lobkowicz palace
reptile_left,gronovi's dwarf burrowing skink,reptile_right,gronovi's dwarf burrowing skink
unitofwork_left,atwater v. lago vista,unitofwork_right,atwater v. city of lago vista
motorsportseason_left,1988 world rally championship season,motorsportseason_right,1988 world rally championship
naturalevent_left,1985 algarrobo earthquake,naturalevent_right,1985 santiago earthquake
museum_left,"doge's palace, venice",museum_right,doge's palace
song_left,twinkle twinkle little star,song_right,"twinkle, twinkle, little star"
christianbishop_left,george andrew beck,christianbishop_right,george beck (bishop)
basketballteam_left,a.e.l. 1964 b.c.,basketballteam_right,ael 1964 b.c.
soccerleague_left,professional arena soccer league,soccerleague_right,major arena soccer league
governmentagency_left,department of civil aviation (burma),governmentagency_right,department of civil aviation (myanmar)
soccerleague_left,bristol downs association football league,soccerleague_right,bristol downs football league
memberofparliament_left,"gilbert mitchison, baron mitchison",memberofparliament_right,"dick mitchison, baron mitchison"
ethnicgroup_left,ecuadorian australian,ethnicgroup_right,ecuadorian australians
amphibian_left,plains brown tree frog,amphibian_right,plains brown tree frog
footballmatch_left,austria v switzerland (1954),footballmatch_right,austria v switzerland (1954 fifa world cup)
governmentagency_left,ministry of home and cultural affairs,governmentagency_right,ministry of home and cultural affairs (bhutan)
basketballteam_left,bc krka,basketballteam_right,kk krka
legislature_left,national assembly (armenia),legislature_right,national assembly of armenia
soccerleague_left,great yarmouth and district football league,soccerleague_right,great yarmouth and district league
motorsportseason_left,2013 world rally championship-2 season,motorsportseason_right,2013 world rally championship-2
unitofwork_left,minneapolis star tribune company v. commissioner,unitofwork_right,minneapolis star tribune co. v. commissioner
reptile_left,spotted skink,reptile_right,spotted skink
ethnicgroup_left,lebanese colombian,ethnicgroup_right,lebanese colombians
soccertournament_left,beach soccer world cup 1999,soccertournament_right,1999 beach soccer world championship
reptile_left,doumergue's fringe-fingered lizard,reptile_right,doumergue's fringe-fingered lizard
sportfacility_left,kadriorg stadium,sportfacility_right,kadrioru stadium
song_left,factory girl (song),song_right,factory girl (the rolling stones song)
clericaladministrativeregion_left,roman catholic diocese of bathurst (canada),clericaladministrativeregion_right,roman catholic diocese of bathurst in canada
footballmatch_left,2010 conference national play-off final,footballmatch_right,2010 conference premier play-off final
basketballteam_left,kk vojvodina,basketballteam_right,kk vojvodina srbijagas
museum_left,stedelijk museum amsterdam,museum_right,stedelijk museum
ethnicgroup_left,chaco people,ethnicgroup_right,gran chaco people
song_left,een beetje,song_right,'n beetje
soccerleague_left,calcutta premier division,soccerleague_right,calcutta football league
amphibian_left,northern zigzag salamander,amphibian_right,northern zigzag salamander
legislature_left,senate (kenya),legislature_right,senate of kenya
artwork_left,the entombment of christ (titian),artwork_right,"the entombment (titian, 1525)"
sportsleague_left,gomtv global starcraft ii team league,sportsleague_right,gomtv global starcraft ii team league
shoppingmall_left,the fashion centre at pentagon city,shoppingmall_right,fashion centre at pentagon city
country_left,spanish protectorate in morocco,country_right,spanish protectorate in morocco
motorsportseason_left,2011 fia gt1 world championship season,motorsportseason_right,2011 fia gt1 world championship
governmentagency_left,national bureau of statistics of tanzania,governmentagency_right,national bureau of statistics (tanzania)
shoppingmall_left,avenue carriage crossing,shoppingmall_right,carriage crossing
railwayline_left,south wind (train),railwayline_right,south wind (passenger train)
ethnicgroup_left,afro ecuadorian,ethnicgroup_right,afro-ecuadorian
sportfacility_left,the university club (baton rouge),sportfacility_right,university club of baton rouge
soccerclubseason_left,2010 down senior football season,soccerclubseason_right,2010 down gaa senior football
hospital_left,riverside osteopathic hospital,hospital_right,riverside osteopathic hospital
award_left,2004 brit awards,award_right,2004 brit awards
noble_left,"henry, duke of brunswick-dannenberg",noble_right,"henry iii, duke of brunswick-lã¼neburg"
unitofwork_left,landmark communications v. virginia,unitofwork_right,"landmark communications, inc. v. virginia"
reptile_left,moroccan worm lizard,reptile_right,moroccan worm lizard
basketballteam_left,galatasaray sk (women's basketball),basketballteam_right,galatasaray s.k. (women's basketball)
reptile_left,black-headed ground snake,reptile_right,black-headed ground snake
election_left,"california state assembly elections, 2012",election_right,"california state assembly election, 2012"
ethnicgroup_left,vietnamese american,ethnicgroup_right,vietnamese americans
soccerleague_left,omani federation cup,soccerleague_right,oman professional league cup
tennistournament_left,2010 bell challenge,tennistournament_right,2010 challenge bell
naturalevent_left,869 jogan sanriku earthquake,naturalevent_right,869 sanriku earthquake
reptile_left,anatolian rock lizard,reptile_right,anatolian rock lizard
christianbishop_left,thomas (12th-century bishop),christianbishop_right,thomas (12th century bishop)
case_left,united states v. utah construction & mining company,case_right,united states v. utah construction & mining co.
artwork_left,on the wallaby track,artwork_right,on the wallaby track
noble_left,"philip iii, count of hanau-lichtenberg",noble_right,"philipp iii, count of hanau-lichtenberg"
givenname_left,hayley,givenname_right,hayley (given name)
reptile_left,roque chico de salmor giant lizard,reptile_right,roque chico de salmor giant lizard
basketballteam_left,pelita jaya esia,basketballteam_right,pelita jaya energi mega persada
noble_left,"elizabeth beauchamp, countess of warwick",noble_right,"elizabeth de berkeley, countess of warwick"
hospital_left,keck hospital of usc,hospital_right,usc university hospital
shoppingmall_left,la encantada,shoppingmall_right,la encantada (shopping center)
reptile_left,coachella valley fringe-toed lizard,reptile_right,coachella valley fringe-toed lizard
reptile_left,gran canaria giant lizard,reptile_right,gran canaria giant lizard
soccerleague_left,bangladesh premier league (football),soccerleague_right,bangladesh league
unitofwork_left,baylis v. travelers' insurance company,unitofwork_right,baylis v. travelers' ins. co.
clericaladministrativeregion_left,apostolic exarchate of serbia and montenegro,clericaladministrativeregion_right,croatian catholic apostolic exarchate of serbia
historicbuilding_left,"st. george indian orthodox church, perth, australia",historicbuilding_right,"st. george indian orthodox church, perth, western australia"
hospital_left,milton keynes general hospital,hospital_right,milton keynes university hospital
amphibian_left,tohoku salamander,amphibian_right,tohoku salamander
drug_left,5-meo-amt,drug_right,5-meo-amt
country_left,colony of santiago (jamaica),country_right,spanish occupation of santiago (jamaica)
country_left,hotaki dynasty,country_right,hotaki empire
case_left,"baltimore gas & elec. co. v. natural resources defense council, inc.",case_right,"baltimore gas & electric co. v. natural resources defense council, inc."
song_left,girl (the beatles song),song_right,girl (beatles song)
ethnicgroup_left,scottish american,ethnicgroup_right,scottish americans
naturalevent_left,near east earthquakes of 1759,naturalevent_right,near east earthquake of 1759
stadium_left,"world arena, colorado springs",stadium_right,"world arena (colorado springs, colorado)"
basketballteam_left,egaleo b.c.,basketballteam_right,egaleo bc
sportsleague_left,nsw state league division two,sportsleague_right,nsw state league
reptile_left,dwarf beaked snake,reptile_right,dwarf beaked snake
basketballteam_left,pagrati b.c.,basketballteam_right,ao pagrati bc
monarch_left,'izz al-dawla,monarch_right,'izz al-daula
stadium_left,lg champions park,stadium_right,lg champion's park
song_left,need your love (song),song_right,need your love (cheap trick song)
election_left,"moroccan parliamentary election, 2011",election_right,"moroccan general election, 2011"
reptile_left,horseshoe whip snake,reptile_right,horseshoe whip snake
footballleagueseason_left,2008 j. league division 2,footballleagueseason_right,2008 j.league division 2
reptile_left,namaqua chameleon,reptile_right,namaqua chameleon
tournament_left,2010 uefa european under-17 football championship,tournament_right,2010 uefa european under-17 championship
sportsleague_left,slovak 1.liga,sportsleague_right,slovak 1. liga
shoppingmall_left,westfield annapolis,shoppingmall_right,annapolis mall
amphibian_left,kings river slender salamander,amphibian_right,kings river slender salamander
memberofparliament_left,bimal rathnayaka,memberofparliament_right,bimal rathnayake
motorsportseason_left,2007 nascar corona series season,motorsportseason_right,2007 nascar corona series
memberofparliament_left,john abel (australian politician),memberofparliament_right,john abel (politician)
legislature_left,senate (france),legislature_right,senate of france
drug_left,"ly-310,762",drug_right,ly-310762
reptile_left,swartberg dwarf chameleon,reptile_right,swartberg dwarf chameleon
soccertournament_left,2014 uefa women's u-19 championship,soccertournament_right,2014 uefa women's under-19 championship
legislature_left,chamber of deputies (tunisia),legislature_right,chamber of deputies of tunisia
televisionstation_left,k31fd,televisionstation_right,k31fd-d
sportsleague_left,national basketball league (australasia),sportsleague_right,national basketball league (australia)
tournament_left,1988 uefa european under-16 football championship,tournament_right,1988 uefa european under-16 championship
reptile_left,rubber boa,reptile_right,rubber boa
sportfacility_left,campbell field (colorado),sportfacility_right,brooks field (colorado)
museum_left,"steamtown, peterborough railway preservation society inc.",museum_right,steamtown peterborough railway preservation society
election_left,"faroese parliamentary election, 2011",election_right,"faroese general election, 2011"
soccerleague_left,south yorkshire amateur football league,soccerleague_right,south yorkshire amateur league
artwork_left,the falconer sculpture,artwork_right,the falconer (sculpture)
stadium_left,"victoria park, hartlepool",stadium_right,victoria park (hartlepool)
reptile_left,rainbow whiptail,reptile_right,rainbow whiptail
memberofparliament_left,brian o'malley,memberofparliament_right,brian kevin o'malley
amphibian_left,northern barred frog,amphibian_right,northern barred frog
railwayline_left,state street subway,railwayline_right,state street subway (cta)
shoppingmall_left,the mall at cortana,shoppingmall_right,cortana mall
reptile_left,simon's desert racer,reptile_right,simon's desert racer
enzyme_left,4-cresol dehydrogenase (hydroxylating),enzyme_right,4-cresol dehydrogenase (hydroxylating)
artwork_left,the art of painting,artwork_right,the art of painting (vermeer)
reptile_left,pacific gopher snake,reptile_right,pacific gopher snake
